metric,n_seeds,baseline_mean,treatment_mean,mean_diff,median_diff,relative_effect_pct,signed_relative_effect_pct,cohens_d,bootstrap_ci_95_lo,bootstrap_ci_95_hi,ci_excludes_zero,wilcoxon_stat,wilcoxon_p,paired_ttest_stat,paired_ttest_p,practically_significant_improvement,pricing_policy,dispatch_policy,role
p90_wait_min,24,9.4375,9.325000000000008,-0.11249999999999227,0.0,-1.1920529801323685,1.1920529801323685,-0.2817769101101989,-0.270833333333314,0.037500000000003864,False,5.0,0.2422880965362707,-1.3804193021361397,0.18072740304408846,False,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,primary
avg_wait_min,24,3.8277196937624383,3.8253093158123144,-0.0024103779501237397,-0.00820810101315761,-0.06297164220388538,0.06297164220388538,-0.04145390789412247,-0.02479186908122214,0.020610395953454663,False,136.0,0.704756498336792,-0.20308184436986323,0.8408569661129506,False,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,secondary
completion_rate,24,0.550978476934556,0.5514523317856059,0.0004738548510498629,0.0005926111405228363,0.08600242493794295,0.08600242493794295,0.12408755895981134,-0.0010818495432947319,0.0019540615226351136,False,116.0,0.5034132106662779,0.6079024057581215,0.5492083600645908,False,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,secondary
cancellation_rate,24,0.1627443905483945,0.16183719381286552,-0.0009071967355290221,-0.0002501828076716117,-0.5574365620050379,0.5574365620050379,-0.2766257100029112,-0.0022335693619859654,0.00030169785230942174,False,123.0,0.45587432384490967,-1.3551836784844897,0.18852006144489025,False,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,secondary
earnings_per_online_hour_mean,24,162.07387989700877,164.73420748524947,2.6603275882406847,2.831832198872874,1.6414289519885699,1.6414289519885699,1.7656050595231494,2.0470103009595806,3.221989719369538,True,5.0,1.1920928955078125e-06,8.649662966216074,1.0951872057055444e-08,False,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,guardrail
driver_utilization_mean,24,0.5570797284611155,0.5662224729088999,0.00914274444778448,0.009615796308540259,1.641191373637041,1.641191373637041,1.8127674071343427,0.00719027689113647,0.011151331148465504,True,2.0,3.5762786865234375e-07,8.88071033965446,6.830811798199094e-09,False,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,guardrail
platform_revenue,24,96225.25813603943,96283.69144727568,58.43331123623526,208.17376218907884,0.06072554375860918,0.06072554375860918,0.08214821147878097,-234.97360548480114,333.9241608115987,False,134.0,0.6634435653686523,0.40244240281051463,0.6910743586758011,False,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,guardrail
p90_wait_min,24,9.4375,9.333333333333334,-0.10416666666666667,0.0,-1.1037527593818985,1.1037527593818985,-0.22364569603639134,-0.2916666666666667,0.08333333333333333,False,5.0,0.2216236024593936,-1.0956356769174902,0.2845787894309675,False,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,primary
avg_wait_min,24,3.8277196937624383,3.8012484824930404,-0.026471211269398165,-0.029922573664120655,-0.6915660860050705,0.6915660860050705,-0.3006676605959981,-0.05966115183946527,0.00965845161566322,False,74.0,0.029131293296813965,-1.4729647012330227,0.15431485170021658,False,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,secondary
completion_rate,24,0.550978476934556,0.5519766201780644,0.0009981432435084286,0.0018117532948416226,0.18115830024100665,0.18115830024100665,0.23625484169830768,-0.0006505221300104102,0.0026469282769522465,False,106.0,0.33041490332462464,1.1574076228457362,0.25898484223347157,False,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,secondary
cancellation_rate,24,0.1627443905483945,0.16103457092532927,-0.0017098196230652268,-0.0019380678931218698,-1.0506166248211093,1.0506166248211093,-0.4960967147282707,-0.0030554319990162546,-0.000322627115597152,True,57.0,0.024047926156015694,-2.4303676283106634,0.023293777079835126,False,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,secondary
earnings_per_online_hour_mean,24,162.07387989700877,162.27607445682338,0.20219455981460163,0.4095897686191421,0.12475456251376711,0.12475456251376711,0.12707694510915804,-0.43608402113281564,0.8162530665125226,False,117.0,0.35962629318237305,0.622547347178207,0.5397058084563308,False,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,guardrail
driver_utilization_mean,24,0.5570797284611155,0.557257729223848,0.00017800076273245813,0.00020725827525791551,0.03195247531698377,0.03195247531698377,0.03922648990518188,-0.0015751585779722576,0.001909079348782646,False,139.0,0.7682963609695435,0.19216976933626176,0.8492958308928903,False,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,guardrail
platform_revenue,24,96225.25813603943,96394.5877670903,169.3296310508837,337.9998795467691,0.17597212450341493,0.17597212450341493,0.20417869504927177,-162.03370656463383,488.0280362827761,False,114.0,0.3165123462677002,1.0002672384360916,0.3275892564857105,False,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,guardrail
p90_wait_min,24,9.4375,10.216666666666677,0.779166666666678,1.0,8.25607064017672,-8.25607064017672,1.9375242030334314,0.6083333333333675,0.9250000000000114,True,0.0,1.710949618861992e-05,9.491891323449083,2.025904253996038e-09,False,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,primary
avg_wait_min,24,3.8277196937624383,4.16372166756728,0.3360019738048423,0.35393548057209023,8.778123809650513,-8.778123809650513,3.130404968664298,0.2909130002487877,0.3765979963353892,True,0.0,1.1920928955078125e-07,15.33578972300139,1.4373720284209562e-13,False,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,secondary
completion_rate,24,0.550978476934556,0.5226844338610982,-0.028294043073457748,-0.028471496543675423,-5.135235632229324,-5.135235632229324,-3.96885340144575,-0.031127750079835755,-0.02560703260495483,True,0.0,1.1920928955078125e-07,-19.443331394902984,8.939298049065684e-16,False,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,secondary
cancellation_rate,24,0.1627443905483945,0.18433973650185842,0.021595345953463897,0.020276651717596253,13.269487126834145,-13.269487126834145,4.443346585260851,0.019803256463048972,0.02353182919557345,True,0.0,1.1920928955078125e-07,21.76786376845423,7.571654049338507e-17,False,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,secondary
earnings_per_online_hour_mean,24,162.07387989700877,152.40001172213275,-9.673868174876047,-9.91034887899741,-5.968801500293193,-5.968801500293193,-5.138733231126155,-10.40828012054738,-8.933607342304404,True,0.0,1.1920928955078125e-07,-25.17454868108515,3.042136596020208e-18,False,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,guardrail
driver_utilization_mean,24,0.5570797284611155,0.5473378000864392,-0.009741928374676412,-0.010246904920875433,-1.7487493938412808,-1.7487493938412808,-2.76690778687796,-0.011087865316867361,-0.008300841758306846,True,0.0,1.1920928955078125e-07,-13.555024486368932,1.8721353547527285e-12,False,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,guardrail
platform_revenue,24,96225.25813603943,90229.39765842538,-5995.860477614074,-6404.720654785968,-6.231067178990952,-6.231067178990952,-4.737769254968208,-6484.148790298668,-5495.0727694868765,True,0.0,1.1920928955078125e-07,-23.210234387436255,1.841334734883205e-17,False,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,guardrail
p90_wait_min,24,10.166666666666666,9.333333333333334,-0.8333333333333334,-1.0,-8.196721311475411,8.196721311475411,-1.7305466381079322,-1.0,-0.625,True,0.0,2.00786561242648e-05,-8.477912478906585,1.562656602554851e-08,True,CAPPED_SMOOTHED_SURGE,ETA_OPTIMIZED,primary
avg_wait_min,24,4.16293933842753,4.162177722334395,-0.0007616160931355384,0.0038422105417166286,-0.018295152324348404,0.018295152324348404,-0.009381288220324482,-0.032598703388794344,0.03019110039730641,False,149.0,0.9888126850128174,-0.04595873853955495,0.9637398541145159,False,CAPPED_SMOOTHED_SURGE,ETA_OPTIMIZED,secondary
completion_rate,24,0.5531777916418187,0.5675084029363773,0.014330611294558605,0.01463062289923478,2.5905977266414992,2.5905977266414992,2.042260607644277,0.011529144987605397,0.01703036235053425,True,1.0,2.384185791015625e-07,10.004992821029592,7.572954970658946e-10,False,CAPPED_SMOOTHED_SURGE,ETA_OPTIMIZED,secondary
cancellation_rate,24,0.20233575558774974,0.1920131535880608,-0.01032260199968898,-0.0105260502038578,-5.101719154730532,5.101719154730532,-2.1722691252504904,-0.012174898065649671,-0.008469837747971467,True,0.0,1.1920928955078125e-07,-10.641901881731327,2.3336662502035976e-10,True,CAPPED_SMOOTHED_SURGE,ETA_OPTIMIZED,secondary
