experiment_group,scenario,seed,pricing_policy,dispatch_policy,n_requests,n_completed,n_abandoned,n_cancelled_postmatch,n_rejected_offer,avg_wait_min,median_wait_min,p90_wait_min,cancellation_rate,completion_rate,fulfillment_rate,rider_conversion_rate,avg_price,price_index,avg_pickup_distance_km,gbv,platform_revenue,driver_payout_total,revenue_per_ride,n_online_drivers,total_online_hours,total_active_hours,driver_utilization_mean,earnings_per_online_hour_mean,earnings_per_active_hour,driver_acceptance_rate,north_star_trips_per_online_hour,unmatched_requests
core,NORMAL,2,NO_SURGE,MARKETPLACE_AWARE,5889,3279,601,671,1311,4.25038121378469,2.0,10.0,0.21599592460519612,0.5568008150789607,0.5568008150789607,0.5568008150789607,109.86819795982176,1.0,1.4383606194847405,360257.82111025555,90064.45527756389,270193.36583269166,27.46704948995544,260,1688.2833333333333,1026.5333333333333,0.5679987674898597,151.55440898116188,263.20953938760715,0.6908774978279757,1.9422095422371837,1272
core,NORMAL,2,NO_SURGE,ADVANCED_HEURISTIC,5889,3081,550,810,1428,4.320025965595586,2.0,11.0,0.23093903888605877,0.5231788079470199,0.5231788079470199,0.5231788079470199,110.35683521402247,1.0,1.4878324495785558,340009.4092944032,85002.3523236008,255007.05697080243,27.589208803505617,260,1692.8333333333333,993.3166666666667,0.5474175492375885,143.3683707999426,256.7228211588809,0.6891629955947136,1.8200255981096782,1360
core,NORMAL,2,BASIC_SURGE,NEAREST_DRIVER,5889,3260,529,685,1389,4.160429447852761,2.0,10.0,0.20614705382917303,0.5535744608592291,0.5535744608592291,0.5535744608592291,110.49341872349585,1.0047543105058536,1.4117030828817614,360208.5450385965,90052.13625964912,270156.40877894737,27.623354680873963,260,1689.7666666666667,1021.3333333333334,0.5686842736969204,152.18301668832254,264.51345507077093,0.6834854485965215,1.9292604501607717,1214
core,NORMAL,2,BASIC_SURGE,ETA_OPTIMIZED,5889,3361,508,656,1340,4.1160368937816125,2.0,9.0,0.19765664798777383,0.5707250806588555,0.5707250806588555,0.5707250806588555,110.40148689223447,1.0057572937005885,1.2411494805746284,371059.39744480007,92764.84936120002,278294.54808360006,27.60037172305862,260,1696.7666666666667,1012.4166666666666,0.5593259337996171,154.9733529265939,274.8814369086509,0.6936813186813187,1.980826277429621,1164
core,NORMAL,2,BASIC_SURGE,DRIVER_EARNINGS_AWARE,5889,3273,530,686,1375,4.080354414909869,2.0,10.0,0.206486670062829,0.5557819663779928,0.5557819663779928,0.5557819663779928,111.0241156700063,1.0074208324423461,1.3901732993073934,363381.9305879306,90845.48264698265,272536.44794094795,27.756028917501574,260,1691.4166666666667,1023.6833333333333,0.5707162622619742,154.6566777240611,266.23120555602935,0.6828933836133013,1.9350642952160417,1216
core,NORMAL,2,BASIC_SURGE,MARKETPLACE_AWARE,5889,3265,538,685,1379,4.132006125574272,2.0,10.0,0.2076753268806249,0.5544235014433689,0.5544235014433689,0.5544235014433689,110.79264586849321,1.006682314140386,1.3989208695792743,361737.9887606303,90434.49719015758,271303.4915704727,27.698161467123303,260,1694.1833333333334,1025.5833333333333,0.5645826537882718,151.1982544607845,264.5357844190845,0.6853002070393375,1.9271822215226608,1223
core,NORMAL,2,BASIC_SURGE,ADVANCED_HEURISTIC,5889,3101,505,792,1468,4.343760077394389,2.0,11.0,0.22024112752589572,0.5265749702835796,0.5265749702835796,0.5265749702835796,110.33606469939852,1.0006797333167412,1.505685763968725,342152.1366328348,85538.0341582087,256614.1024746261,27.58401617484963,260,1693.85,996.3333333333334,0.5516528735834396,144.6362474423447,257.55848358109006,0.6887755102040817,1.8307406204799717,1297
core,NORMAL,2,AGGRESSIVE_SURGE,NEAREST_DRIVER,5889,3267,393,584,1624,3.8019589837771655,2.0,9.0,0.16590253014094072,0.5547631176770249,0.5547631176770249,0.5547631176770249,117.33931178851996,1.063896750837455,1.3139286837970794,383347.53161309473,95836.88290327368,287510.64870982105,29.33482794712999,260,1690.6333333333334,997.3,0.55248894311296,161.1766358117004,288.28902908835965,0.6969042476601872,1.9324119166387348,977
core,NORMAL,2,AGGRESSIVE_SURGE,ETA_OPTIMIZED,5889,3266,372,590,1637,3.8548683404776485,2.0,8.0,0.16335540838852097,0.5545933095601969,0.5545933095601969,0.5545933095601969,116.20324953719091,1.0565555789294607,1.1889835349767284,379519.81298846554,94879.95324711638,284639.8597413491,29.05081238429773,260,1697.2666666666667,968.2,0.5302109453286046,157.26069566205427,293.9887004145312,0.6961048285765572,1.9242703955379237,962
core,NORMAL,2,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,5889,3243,388,596,1639,3.7647240209682393,2.0,9.0,0.16709118695873662,0.5506877228731534,0.5506877228731534,0.5506877228731534,116.9213204142878,1.0625876432369468,1.303899017839314,379175.84210353537,94793.96052588384,284381.88157765154,29.23033010357195,260,1689.75,990.6833333333333,0.5560030287311334,161.9485615221682,287.0562893400026,0.6889721627408993,1.9192188193519752,984
